Name,Cities,Algorithm,Executer,Iterations,Timelimit,Fitness,Gap,Time
tsp225,225,pso,single,inf,60,15584.8916015625,303.86,60.07
tsp225,225,pso,single,500,None,15489.15234375,301.38,54.80
tsp225,225,pso,single,1000,None,7729.49267578125,100.29999999999998,106.49
tsp225,225,pso,multi,inf,30,17255.46875,347.15,30.06
tsp225,225,pso,multi,inf,60,8063.6953125,108.96,60.06
tsp225,225,pso,multi,500,None,15489.15234375,301.38,31.35
tsp225,225,pso,multi,1000,None,7729.49267578125,100.29999999999998,61.16
tsp225,225,pso,gpu,inf,30,16643.490234375,331.29,30.03
tsp225,225,pso,gpu,inf,60,6818.89697265625,76.7,60.01
tsp225,225,pso,gpu,500,None,15489.15234375,301.38,29.61
tsp225,225,pso,gpu,1000,None,7729.49267578125,100.29999999999998,57.63
tsp225,225,pso,hybrid,inf,30,17276.384765625,347.69,30.06
tsp225,225,pso,hybrid,inf,60,8572.080078125,122.13000000000001,60.06
tsp225,225,pso,hybrid,500,None,15489.15234375,301.38,31.22
tsp225,225,pso,hybrid,1000,None,7729.49267578125,100.29999999999998,62.05
pcb442,442,ga,single,inf,30,159046.703125,213.19,30.00
pcb442,442,ga,single,inf,60,105333.4140625,107.42,60.01
pcb442,442,ga,single,500,None,216009.359375,325.34999999999997,17.17
pcb442,442,ga,single,1000,None,145242.828125,186.0,34.15
pcb442,442,ga,multi,inf,30,86427.1640625,70.19,30.00
pcb442,442,ga,multi,inf,60,77335.0390625,52.28,60.00
pcb442,442,ga,multi,500,None,262082.90625,416.08,0.63
pcb442,442,ga,multi,1000,None,221479.34375,336.12,1.38
pcb442,442,ga,gpu,inf,30,92726.515625,82.59,30.00
pcb442,442,ga,gpu,inf,60,81533.03125,60.550000000000004,60.00
pcb442,442,ga,gpu,500,None,262082.90625,416.08,0.88
pcb442,442,ga,gpu,1000,None,221479.34375,336.12,1.94
pcb442,442,ga,hybrid,inf,30,94538.1640625,86.16,30.00
pcb442,442,ga,hybrid,inf,60,82363.765625,62.19,60.00
pcb442,442,ga,hybrid,500,None,262082.90625,416.08,1.45
pcb442,442,ga,hybrid,1000,None,221479.34375,336.12,2.02
pcb442,442,aco,single,inf,30,64300.89453125,26.619999999999997,30.06
pcb442,442,aco,single,inf,60,62575.59375,23.22,62.53
pcb442,442,aco,single,500,None,57966.69140625,14.14,1480.36
pcb442,442,aco,single,1000,None,57966.69140625,14.14,2971.26
pcb442,442,aco,multi,inf,30,58611.7890625,15.409999999999998,30.16
pcb442,442,aco,multi,inf,60,58054.23046875,14.32,60.19
pcb442,442,aco,multi,500,None,57966.69140625,14.14,100.76
pcb442,442,aco,multi,1000,None,57966.69140625,14.14,200.59
pcb442,442,aco,gpu,inf,30,57573.203125,13.370000000000001,30.01
pcb442,442,aco,gpu,inf,60,57587.23046875,13.4,60.03
pcb442,442,aco,gpu,500,None,57573.203125,13.370000000000001,16.75
pcb442,442,aco,gpu,1000,None,58339.75,14.879999999999999,33.44
pcb442,442,aco,hybrid,inf,30,57973.953125,14.16,30.02
pcb442,442,aco,hybrid,inf,60,58189.92578125,14.580000000000002,60.00
pcb442,442,aco,hybrid,500,None,57835.9921875,13.889999999999999,17.35
pcb442,442,aco,hybrid,1000,None,57718.7734375,13.66,34.87
pcb442,442,pso,single,inf,30,653306.0,1186.45,30.04
pcb442,442,pso,single,inf,60,630339.1875,1141.23,60.13
pcb442,442,pso,single,500,None,435430.5,757.4200000000001,106.70
pcb442,442,pso,single,1000,None,314827.0625,519.9399999999999,232.09
pcb442,442,pso,multi,inf,30,633202.5,1146.8700000000001,30.08
pcb442,442,pso,multi,inf,60,623649.25,1128.05,60.04
pcb442,442,pso,multi,500,None,435430.5,757.4200000000001,61.78
pcb442,442,pso,multi,1000,None,314827.0625,519.9399999999999,136.57
pcb442,442,pso,gpu,inf,30,633202.5,1146.8700000000001,30.12
pcb442,442,pso,gpu,inf,60,623649.25,1128.05,60.03
pcb442,442,pso,gpu,500,None,435430.5,757.4200000000001,60.99
pcb442,442,pso,gpu,1000,None,314827.0625,519.9399999999999,135.99
pcb442,442,pso,hybrid,inf,30,633202.5,1146.8700000000001,30.03
pcb442,442,pso,hybrid,inf,60,623649.25,1128.05,60.11
pcb442,442,pso,hybrid,500,None,435430.5,757.4200000000001,70.39
pcb442,442,pso,hybrid,1000,None,314827.0625,519.9399999999999,154.10
